"region","group","value"
"sicilia","0-9",411917
"sicilia","10-19",492135
"sicilia","20-29",547546
"sicilia","30-39",581251
"sicilia","40-49",685347
"sicilia","50-59",731890
"sicilia","60-69",608758
"sicilia","70-79",460550
"sicilia","80-89",265966
"sicilia","over90",55516
"sicilia","total",4840876
"sardegna","0-9",105729
"sardegna","10-19",134581
"sardegna","20-29",148456
"sardegna","30-39",180577
"sardegna","40-49",244805
"sardegna","50-59",266283
"sardegna","60-69",225597
"sardegna","70-79",172277
"sardegna","80-89",97848
"sardegna","over90",22072
"sardegna","total",1598225
